АБДОМИНОПЛАСТИКА	["144594-N", "5390-N", "113873-N"]	['КОСМЕТИЧЕСКАЯ ОПЕРАЦИЯ', 'ХИРУРГИЧЕСКАЯ ОПЕРАЦИЯ', 'ПЛАСТИЧЕСКАЯ ОПЕРАЦИЯ']
АБСОРБЕНТ	["820-N", "147134-N"]	['ВЕЩЕСТВО', 'ФИЗИЧЕСКАЯ СУЩНОСТЬ']
АВАЛЬ	["9063-N", "116527-N", "150684-N"]	['ПОРУЧИТЕЛЬСТВО', 'РУЧАТЕЛЬСТВО', 'ГАРАНТИЯ ОСУЩЕСТВЛЕНИЯ']
АВАЛЬ	["107542-N", "2966-N"]	['НАДПИСЬ (КОРОТКИЙ ТЕКСТ)', 'ТЕКСТ']
АВТАРКИЯ	["601-N", "833-N", "137766-N", "133994-N"]	['ГОСУДАРСТВЕННАЯ ПОЛИТИКА', 'ЭКОНОМИЧЕСКАЯ ПОЛИТИКА', 'ВНУТРЕННЯЯ ПОЛИТИКА', 'ПОЛИТИКА (НАПРАВЛЕНИЕ ДЕЯТЕЛЬНОСТИ)']
АВТАРКИЯ	["119136-N"]	['САМОСТОЯТЕЛЬНОСТЬ, НЕЗАВИСИМОСТЬ']
АГНОСТИК	["107524-N", "130993-N", "153097-N", "2149-N"]	['ПОСЛЕДОВАТЕЛЬ', 'ЕДИНОМЫШЛЕННИК', 'ЧЕЛОВЕК ПО ВЗГЛЯДАМ', 'ЧЕЛОВЕК']
АДЖИКА	["107911-N", "368-N"]	['ПРИПРАВА', 'ПРОДУКТЫ ПИТАНИЯ']
АДЪЮНКТУРА	["130011-N", "1384-N"]	['ПОСЛЕВУЗОВСКОЕ ОБРАЗОВАНИЕ', 'АСПИРАНТУРА']
АЙПАД	["151577-N", "149539-N"]	['ПЛАНШЕТНЫЙ КОМПЬЮТЕР', 'МОБИЛЬНЫЙ КОМПЬЮТЕР']
АКВАБАЙК	["4187-N", "4420-N", "6921-N"]	['МОТОЦИКЛ', 'ИНДИВИДУАЛЬНЫЙ ТРАНСПОРТ', 'МОТОТРАНСПОРТНОЕ СРЕДСТВО']
АКВЕДУК	["3639-N"]	['ИНЖЕНЕРНОЕ СООРУЖЕНИЕ']
АКВЕДУК	["4161-N", "4160-N"]	['ДОРОЖНОЕ СООРУЖЕНИЕ', 'МОСТ']
АКВЕДУК	["6489-N"]	['ВОДОХОЗЯЙСТВЕННОЕ СООРУЖЕНИЕ']
АКСЕЛЬБАНТ	["116413-N", "143489-N"]	['ШНУР (ВЕРЕВКА)', 'КАНАТНО-ВЕРЕВОЧНЫЕ ИЗДЕЛИЯ']
АКСЕЛЬБАНТ	["108815-N"]	['ТЕСЬМА']
АКСЕЛЬБАНТ	["116800-N"]	['НАШИВКА НА ОДЕЖДЕ']
АКТИРОВАНИЕ	["106999-N", "106868-N"]	['УДОСТОВЕРЯТЬ', 'СВИДЕТЕЛЬСТВОВАТЬ, СЛУЖИТЬ СВИДЕТЕЛЬСТВОМ']
АКТИРОВАНИЕ	["107009-N", "107668-N"]	['ПИСАТЬ, СОЧИНЯТЬ ТЕКСТ', 'СОЧИНИТЬ ПРОИЗВЕДЕНИЕ']
АЛАВИТ	["124312-N", "4546-N"]	['ШИИТ', 'МУСУЛЬМАНИН']
АЛЕКСАНДРИТ	["3417-N", "144866-N", "103-N", "128017-N"]	['МИНЕРАЛ', 'ДРАГОЦЕННЫЕ МЕТАЛЛЫ И КАМНИ', 'ДРАГОЦЕННЫЙ КАМЕНЬ', 'СОКРОВИЩА']
АЛЬПИНИАДА	["7158-N", "124971-N"]	['МАССОВАЯ АКЦИЯ', 'АКЦИЯ (ДЕЙСТВИЕ)']
АЛЬПИНИАДА	["117484-N", "148955-N", "148956-N"]	['ВЗОЙТИ, ПОДНЯТЬСЯ ПЕШКОМ', 'ПОКОРИТЬ (ОСВОИТЬ)', 'ПОКОРЕНИЕ ГОРНОЙ ВЕРШИНЫ']
АМЕРИКАНИЗАЦИЯ	["129365-N", "106629-N"]	['ПРИБЛИЗИТЬСЯ, УПОДОБИТЬСЯ', 'ИЗМЕНИТЬСЯ, ИЗМЕНЕНИЕ']
АМФОРА	["107038-N", "107039-N"]	['ВМЕСТИЛИЩЕ', 'СОСУД (ВМЕСТИЛИЩЕ)']
АНГИДРИД	["820-N", "108760-N"]	['ВЕЩЕСТВО', 'ХИМИЧЕСКОЕ СОЕДИНЕНИЕ']
АНГЛИЦИЗМ	["3264-N", "125823-N"]	['СЛОВО ЯЗЫКА', 'ЗАИМСТВОВАННОЕ СЛОВО']
АНДЕРРАЙТЕР	["121156-N", "142757-N", "4678-N"]	['АГЕНТ (ПРЕДСТАВИТЕЛЬ)', 'ФИНАНСОВЫЙ ПОСРЕДНИК', 'ФИНАНСОВЫЙ БРОКЕР']
АНЕСТЕТИК	["1068-N", "6514-N", "147742-N", "1067-N"]	['МЕДИЦИНСКАЯ ПРОДУКЦИЯ', 'ЛЕЧЕБНОЕ СРЕДСТВО', 'АПТЕЧНАЯ ПРОДУКЦИЯ', 'МЕДИКАМЕНТ']
АНИСОВКА	["113584-N", "108336-N", "548-N", "108368-N"]	['НАСТОЙКА (АЛКОГОЛЬНЫЙ НАПИТОК)', 'КРЕПКИЙ АЛКОГОЛЬНЫЙ НАПИТОК', 'АЛКОГОЛЬНЫЙ НАПИТОК', 'ВОДКА']
АНИСОВКА	["154384-N", "144185-N", "354-N"]	['СЕМЕЧКОВЫЙ ПЛОД', 'ЯБЛОКО', 'ФРУКТ']
АНТИГЕН	["147757-N", "1048-N"]	['ДЕЙСТВУЮЩИЙ АГЕНТ', 'БИОЛОГИЧЕСКИЙ АГЕНТ']
АНТИПЕРСПИРАНТ	["109170-N", "1254-N"]	['КОСМЕТИЧЕСКОЕ СРЕДСТВО', 'ПАРФЮМЕРНО-КОСМЕТИЧЕСКИЕ ТОВАРЫ']
АНТИТЕЗА	["125060-N", "106454-N", "125058-N"]	['ЛОГИЧЕСКОЕ СУЖДЕНИЕ', 'ПОЛОЖЕНИЕ, ТЕЗИС', 'ЛОГИЧЕСКИЙ ТЕЗИС']
АНФИЛАДА	["106584-N", "106583-N"]	['РАСПОЛОЖЕНИЕ, ПОРЯДОК РАЗМЕЩЕНИЯ', 'ЛИНИЯ, РЯД']
АПИТЕРАПИЯ	["7529-N", "7783-N"]	['МЕТОД ЛЕЧЕНИЯ', 'НЕТРАДИЦИОННЫЕ МЕТОДЫ ЛЕЧЕНИЯ']
АПОЛОГЕТИКА	["121515-N", "115405-N", "1395-N"]	['КОНЦЕПЦИЯ, ДОКТРИНА', 'БОГОСЛОВИЕ', 'ФИЛОСОФСКИЕ НАУКИ']
АППЕРКОТ	["107404-N", "111963-N"]	['УДАРИТЬ, НАНЕСТИ УДАР', 'КАСАТЬСЯ, ДОТРАГИВАТЬСЯ']
АРАБЕСКА	["107988-N", "107987-N", "107608-N"]	['ОРНАМЕНТ', 'УЗОР', 'УКРАШЕНИЕ (ПРЕДМЕТ)']
АРГО	["126139-N", "148133-N"]	['ЖАРГОН', 'ЕСТЕСТВЕННЫЙ ЯЗЫК']
АРТИКЛЬ	["110592-N", "110594-N"]	['ЧАСТЬ РЕЧИ', 'СЛУЖЕБНЫЕ ЧАСТИ РЕЧИ']
АРТСКВАЖИНА	["107-N", "107087-N"]	['СКВАЖИНА В ГРУНТЕ', 'ОТВЕРСТИЕ']
АРХЕОГРАФ	["21-N", "130749-N", "9223-N"]	['НАУЧНЫЙ РАБОТНИК', 'ГУМАНИТАРИЙ (СПЕЦИАЛИСТ)', 'ИСТОРИК']
АСКАРИДА	["124017-N", "107787-N", "121981-N"]	['ГЕЛЬМИНТ', 'ЧЕРВЬ (БЕСКОСТНОЕ ЖИВОТНОЕ)', 'ПАРАЗИТ, ПАРАЗИТАРНЫЙ ОРГАНИЗМ']
АССЕНИЗАТОР	["2550-N", "129158-N"]	['РАБОТНИК', 'РАБОТНИК КОММУНАЛЬНОГО ХОЗЯЙСТВА']
АТМОСФЕРНИК	["4694-N", "2100-N"]	['ДВИГАТЕЛЬ ВНУТРЕННЕГО СГОРАНИЯ', 'ДВИГАТЕЛЬ']
АУКЦИОНЕР	["138167-N", "106857-N"]	['СУБЪЕКТ ДЕЯТЕЛЬНОСТИ', 'УЧАСТНИК']
АУТСТАФФИНГ	["888-N", "133994-N"]	['КАДРОВАЯ ПОЛИТИКА', 'ПОЛИТИКА (НАПРАВЛЕНИЕ ДЕЯТЕЛЬНОСТИ)']
АФРИКАНИСТИКА	["8716-N", "111514-N", "111355-N"]	['ФИЛОЛОГИЯ', 'СТРАНОВЕДЕНИЕ', 'ГУМАНИТАРНЫЕ НАУКИ']
АЦЕТИЛЕН	["108760-N", "121731-N"]	['ХИМИЧЕСКОЕ СОЕДИНЕНИЕ', 'ВОДОРОДНОЕ СОЕДИНЕНИЕ']
АЦЕТИЛЕН	["6232-N", "56-N"]	['ХИМИЧЕСКАЯ ПРОДУКЦИЯ', 'ПРОМЫШЛЕННАЯ ПРОДУКЦИЯ']
АЦЕТИЛЕН	["461-N"]	['ГАЗООБРАЗНОЕ ВЕЩЕСТВО']
БАГУЛЬНИК	["144172-N", "4339-N", "121680-N"]	['РАСТЕНИЕ', 'КУСТАРНИК', 'ВЕЧНОЗЕЛЕНОЕ РАСТЕНИЕ']
БАЗИЛИК	["4681-N", "5735-N", "107911-N", "370-N"]	['ПЛОДООВОЩНАЯ ПРОДУКЦИЯ', 'ПРЯНОСТЬ', 'ПРИПРАВА', 'ПИЩЕВКУСОВЫЕ ПРОДУКТЫ']
БАЗИЛИК	["144172-N", "4339-N"]	['РАСТЕНИЕ', 'КУСТАРНИК']
БАКАЛАВРИАТ	["132529-N", "764-N", "1609-N"]	['ОРГАНИЗАЦИЯ, ВЫПОЛНЯЮЩАЯ ИССЛЕДОВАНИЯ И РАЗРАБОТКИ', 'ВЫСШЕЕ УЧЕБНОЕ ЗАВЕДЕНИЕ', 'ПРОФЕССИОНАЛЬНОЕ УЧЕБНОЕ ЗАВЕДЕНИЕ']
БАКЛАЖКА	["107038-N", "107039-N"]	['ВМЕСТИЛИЩЕ', 'СОСУД (ВМЕСТИЛИЩЕ)']
БАЛАЛАЕЧНИК	["1413-N", "1431-N", "6499-N"]	['АРТИСТ', 'МУЗЫКАНТ', 'МУЗЫКАНТ-ИСПОЛНИТЕЛЬ']
БАЛЬЗАМИН	["965-N", "144172-N", "4789-N"]	['ЦВЕТКОВОЕ РАСТЕНИЕ', 'РАСТЕНИЕ', 'ТРАВЯНИСТОЕ РАСТЕНИЕ']
БАНДЖО	["1450-N", "1449-N", "107996-N"]	['НАРОДНЫЙ ИНСТРУМЕНТ', 'МУЗЫКАЛЬНЫЙ ИНСТРУМЕНТ', 'СТРУННЫЙ МУЗЫКАЛЬНЫЙ ИНСТРУМЕНТ']
БАОБАБ	["144172-N", "124052-N", "988-N"]	['РАСТЕНИЕ', 'ТРОПИЧЕСКОЕ РАСТЕНИЕ', 'ДРЕВЕСНОЕ РАСТЕНИЕ']
БАРВИНОК	["965-N"]	['ЦВЕТКОВОЕ РАСТЕНИЕ']
БАРВИНОК	["6862-N", "4789-N"]	['МНОГОЛЕТНИЕ ТРАВЫ', 'ТРАВЯНИСТОЕ РАСТЕНИЕ']
БАРВИНОК	["6883-N"]	['ДЕКОРАТИВНАЯ КУЛЬТУРА']
БАРОНЕТ	["110641-N", "2149-N"]	['ДВОРЯНИН', 'ЧЕЛОВЕК']
БАРОНЕТ	["3057-N", "110604-N"]	['ЗВАНИЕ', 'ДВОРЯНСКИЙ ТИТУЛ']
БАРСЕТОЧНИК	["639-N", "8153-N", "115323-N"]	['ПРЕСТУПНИК', 'ВОР', 'ПОХИТИТЕЛЬ']
БАРЬЕРИСТ	["112464-N", "111203-N"]	['ЛЕГКОАТЛЕТ', 'БЕГУН']
БАТАЛИСТ	["113185-N", "1416-N"]	['ХУДОЖНИК (АВТОР ИЗОБРАЗИТЕЛЬНОГО ПРОИЗВЕДЕНИЯ)', 'ЖИВОПИСЕЦ']
БАТТЕРФЛЯЙ	["9817-N", "106552-N"]	['СПОСОБ ПЛАВАНИЯ', 'СПОСОБ, СРЕДСТВО']
БАШЛЫК	["3510-N", "133133-N", "112224-N", "1256-N"]	['ГОЛОВНОЙ УБОР', 'ДЕТАЛЬ ОДЕЖДЫ', 'КАПЮШОН (ЧАСТЬ ОДЕЖДЫ)', 'ОДЕЖДА']
БЕГУНОК	["2966-N", "2428-N"]	['ТЕКСТ', 'ДОКУМЕНТ']
БЕГУНОК	["111708-N", "111709-N"]	['ЛИСТ БУМАГИ', 'БЛАНК']
БЕЙКА	["108802-N", "121456-N"]	['ПОЛОСКА ТКАНИ', 'ОБШИВКА (ПОЛОСКА ТКАНИ)']
БЕЛЕНА	["140266-N"]	['ЯДОВИТОЕ РАСТЕНИЕ']
БЕЛЕНА	["4789-N", "4201-N"]	['ТРАВЯНИСТОЕ РАСТЕНИЕ', 'СОРНОЕ РАСТЕНИЕ']
БЕЛЛЕТРИСТ	["2720-N", "8848-N", "1578-N"]	['АВТОР', 'ДЕЯТЕЛЬ ИСКУССТВА', 'ПИСАТЕЛЬ']
БЕЛОЭМИГРАНТ	["9389-N", "2790-N"]	['ПОЛИТИЧЕСКИЙ БЕЖЕНЕЦ', 'ЭМИГРАНТ']
БЕЛЬЧОНОК	["5669-N", "4593-N", "4971-N"]	['ГРЫЗУН', 'ПУШНОЙ ЗВЕРЬ', 'БЕЛКА']
БЕЛЬЧОНОК	["128320-N", "120974-N", "107807-N"]	['ПОТОМСТВО (МОЛОДОЕ ПОКОЛЕНИЕ ПО ОТНОШЕНИЮ К СВОИМ РОДИТЕЛЯМ)', 'МОЛОДНЯК ЖИВОТНЫХ', 'ДЕТЕНЫШ ЖИВОТНОГО']
БЕНЕФИЦИАР	["144563-N", "121730-N"]	['ПРИОБРЕТАТЕЛЬ', 'ПОЛУЧАТЕЛЬ']
БЕНТОНИТ	["8432-N", "5316-N"]	['ОСАДОЧНАЯ ГОРНАЯ ПОРОДА', 'ГЛИНА']
БЕРИЛЛИЙ	["2868-N", "9709-N", "145367-N", "3835-N", "97-N", "259-N"]	['ХИМИЧЕСКИЙ ЭЛЕМЕНТ', 'ЩЕЛОЧНОЗЕМЕЛЬНЫЕ МЕТАЛЛЫ', 'РЕДКИЕ МЕТАЛЛЫ', 'ЛЕГКИЕ МЕТАЛЛЫ', 'МЕТАЛЛ', 'ЦВЕТНЫЕ МЕТАЛЛЫ']
БЕССМЕРТНИК	["144172-N", "4789-N"]	['РАСТЕНИЕ', 'ТРАВЯНИСТОЕ РАСТЕНИЕ']
БЕФСТРОГАНОВ	["108097-N", "107778-N"]	['МЯСНОЕ КУШАНЬЕ', 'КУШАНЬЕ']
БИБЛИОТЕКОВЕДЕНИЕ	["106501-N", "5849-N"]	['ЗАНЯТИЕ, ДЕЯТЕЛЬНОСТЬ', 'КУЛЬТУРНО-ПРОСВЕТИТЕЛЬСКАЯ ДЕЯТЕЛЬНОСТЬ']
БИБОП	["143709-N", "8675-N"]	['МУЗЫКАЛЬНЫЙ СТИЛЬ', 'ДЖАЗОВАЯ МУЗЫКА']
БИЛЬЯРДИСТ	["135736-N", "106857-N", "110092-N"]	['СТОРОНА (ГРУППА ЛИЦ)', 'УЧАСТНИК', 'ИГРОК, УЧАСТНИК ИГРЫ']
БИОФАК	["764-N", "8355-N"]	['ВЫСШЕЕ УЧЕБНОЕ ЗАВЕДЕНИЕ', 'ФАКУЛЬТЕТ']
БИТНИК	["2862-N", "3142-N"]	['МОЛОДЕЖНОЕ ДВИЖЕНИЕ', 'ОБЩЕСТВЕННОЕ ДВИЖЕНИЕ']
БИТНИК	["107524-N", "136055-N"]	['ПОСЛЕДОВАТЕЛЬ', 'НОНКОНФОРМИСТ']
БЛИСТЕР	["141859-N", "116344-N"]	['ПРОЗРАЧНАЯ УПАКОВКА', 'УПАКОВКА ДЛЯ ТОВАРА']
БОБТЕЙЛ	["107746-N", "5906-N"]	['ОВЧАРКА', 'СЛУЖЕБНАЯ СОБАКА']
БОКОВИК	["136595-N", "149662-N", "2153-N"]	['ДИНАМИКА РАЗВИТИЯ', 'РЫНОЧНЫЙ ТРЕНД', 'ЦЕНООБРАЗОВАНИЕ']
БОНДАРЬ	["110125-N", "2550-N"]	['РАБОЧИЙ, РАБОТНИК ФИЗИЧЕСКОГО ТРУДА', 'РАБОТНИК']
БОРОВ	["113214-N", "107876-N", "939-N"]	['ХРЯК (САМЕЦ)', 'САМЕЦ (ЖИВОТНОЕ)', 'ДОМАШНЯЯ СВИНЬЯ']
БОРТНИК	["8828-N", "343-N"]	['ПЧЕЛОВОД', 'СЕЛЬСКОХОЗЯЙСТВЕННЫЙ РАБОТНИК']
БОТОКС	["117067-N", "114568-N", "9725-N", "9444-N"]	['ВКОЛОТЬ (ВСТАВИТЬ)', 'ВПРЫСНУТЬ', 'МЕДИЦИНСКАЯ ПРОЦЕДУРА', 'ИНЪЕКЦИЯ ЛЕКАРСТВА']
БОТОКС	["152370-N", "143066-N", "152371-N"]	['КОСМЕТОЛОГИЧЕСКИЕ УСЛУГИ', 'КОСМЕТИЧЕСКИЙ УХОД', 'ОЗДОРОВИТЕЛЬНЫЕ УСЛУГИ']
БРАЖКА	["549-N", "142362-N", "548-N", "9419-N"]	['НАПИТОК', 'СПИРТОСОДЕРЖАЩАЯ ПРОДУКЦИЯ', 'АЛКОГОЛЬНЫЙ НАПИТОК', 'ОДУРМАНИВАЮЩЕЕ ВЕЩЕСТВО']
БРОМИД	["820-N", "108760-N"]	['ВЕЩЕСТВО', 'ХИМИЧЕСКОЕ СОЕДИНЕНИЕ']
БУДУАР	["144852-N", "107549-N"]	['ЖИЛАЯ КОМНАТА', 'ГОСТИНАЯ (КОМНАТА)']
БУКРАННЕР	["142757-N", "112319-N"]	['ФИНАНСОВЫЙ ПОСРЕДНИК', 'ПОСРЕДНИК']
БУРДЮК	["107038-N", "107048-N"]	['ВМЕСТИЛИЩЕ', 'МЕШОК (ВМЕСТИЛИЩЕ)']
БУРКА	["108474-N", "108208-N", "1256-N", "108091-N"]	['НАКИДКА (ОДЕЖДА)', 'МУЖСКАЯ ОДЕЖДА', 'ОДЕЖДА', 'ЖЕНСКАЯ ОДЕЖДА']
БУРКА	["108848-N", "108527-N", "108829-N"]	['ЧАДРА', 'МАТЕРИАЛ, ТКАНЬ', 'ПОКРЫВАЛО, НАКИДКА']
БЬЕФ	["147134-N", "106451-N"]	['ФИЗИЧЕСКАЯ СУЩНОСТЬ', 'МЕСТО В ПРОСТРАНСТВЕ']
ВАЙФАЙ	["1585-N", "1349-N"]	['КОМПЬЮТЕРНАЯ СЕТЬ', 'ИНФОРМАЦИОННЫЕ КОММУНИКАЦИИ']
ВАЛУЙ	["107860-N", "4319-N", "368-N"]	['СЪЕДОБНЫЙ ГРИБ', 'ГРИБ', 'ПРОДУКТЫ ПИТАНИЯ']
ВАНАДИЙ	["3483-N", "145367-N", "974-N", "97-N", "259-N"]	['ОГНЕУПОРНЫЙ МАТЕРИАЛ', 'РЕДКИЕ МЕТАЛЛЫ', 'ТУГОПЛАВКИЕ МЕТАЛЛЫ', 'МЕТАЛЛ', 'ЦВЕТНЫЕ МЕТАЛЛЫ']
ВАНАДИЙ	["2868-N"]	['ХИМИЧЕСКИЙ ЭЛЕМЕНТ']
ВАРРАНТ	["8722-N", "457-N", "107000-N", "6323-N", "121677-N", "2428-N"]	['ТОРГОВЫЙ ДОКУМЕНТ', 'ЦЕННАЯ БУМАГА', 'УДОСТОВЕРЕНИЕ, УДОСТОВЕРЯЮЩИЙ ДОКУМЕНТ', 'ДВИЖИМАЯ СОБСТВЕННОСТЬ', 'СВИДЕТЕЛЬСТВО, СЕРТИФИКАТ', 'ДОКУМЕНТ']
ВАРРАНТ	["149407-N", "149406-N"]	['ПРОИЗВОДНЫЙ ФИНАНСОВЫЙ ИНСТРУМЕНТ', 'ФИНАНСОВЫЙ ИНСТРУМЕНТ']
ВАТЕРПОЛИСТ	["1626-N", "150555-N"]	['СПОРТСМЕН', 'ЧЕЛОВЕК ПО СФЕРЕ ДЕЯТЕЛЬНОСТИ']
ВАТЕРПОЛИСТ	["106857-N", "110092-N", "135736-N"]	['УЧАСТНИК', 'ИГРОК, УЧАСТНИК ИГРЫ', 'СТОРОНА (ГРУППА ЛИЦ)']
ВЕБМАСТЕР	["2720-N", "134420-N"]	['АВТОР', 'РАЗРАБОТЧИК']
ВЕЙПИНГ	["4042-N", "115824-N"]	['КУРЕНИЕ', 'ВДОХНУТЬ, СДЕЛАТЬ ВДОХ']
ВЕНЕРОЛОГ	["134969-N", "1045-N", "1044-N"]	['ЛЕКАРЬ, ЦЕЛИТЕЛЬ', 'ВРАЧ', 'МЕДИЦИНСКИЙ РАБОТНИК']
ВЕРБЛЮДИЦА	["5630-N", "129059-N", "10236-N"]	['РАБОЧИЙ СКОТ', 'МОЗОЛЕНОГИЕ ЖИВОТНЫЕ', 'ВЕРБЛЮД']
ВЕРБЛЮДИЦА	["107861-N"]	['САМКА (ЖИВОТНОЕ)']
ВЕРСТАЛЬЩИК	["110125-N", "113520-N", "8783-N"]	['РАБОЧИЙ, РАБОТНИК ФИЗИЧЕСКОГО ТРУДА', 'НАБОРЩИК', 'ПОЛИГРАФИСТ']
ВЕРША	["125001-N", "5081-N", "110335-N"]	['СНАРЯЖЕНИЕ (ПРЕДМЕТЫ)', 'ОРУДИЕ ЛОВА', 'РЫБОЛОВНАЯ СНАСТЬ']
ВЕТРОВАЛ	["3-N"]	['ЭЛЕКТРОСТАНЦИЯ']
ВИВАРИЙ	["111506-N", "106573-N"]	['ПОМЕЩЕНИЕ ДЛЯ ЖИВОТНЫХ', 'ПОМЕЩЕНИЕ, ВНУТРЕННОСТЬ ЗДАНИЯ']
ВИДЖЕТ	["513-N", "148785-N"]	['КОМПЬЮТЕРНАЯ ПРОГРАММА', 'ПРИКЛАДНАЯ ПРОГРАММА']
ВИРШИ	["5163-N", "108631-N"]	['ПОЭТИЧЕСКОЕ ПРОИЗВЕДЕНИЕ', 'СТИХОТВОРЕНИЕ']
ВИТИЛИГО	["9457-N", "616-N"]	['КОЖНАЯ БОЛЕЗНЬ', 'БОЛЕЗНЬ']
ВОБЛА	["9746-N", "502-N"]	['ПРЕСНОВОДНАЯ РЫБА', 'РЫБА']
ВОЕНРУК	["134601-N", "1601-N"]	['УЧИТЕЛЬ-ПРЕДМЕТНИК', 'ШКОЛЬНЫЙ УЧИТЕЛЬ']
ВОЛНУШКА	["142326-N", "107860-N", "4319-N", "368-N"]	['ПЛАСТИНЧАТЫЙ ГРИБ', 'СЪЕДОБНЫЙ ГРИБ', 'ГРИБ', 'ПРОДУКТЫ ПИТАНИЯ']
ВОЛЧАНКА	["9457-N", "616-N"]	['КОЖНАЯ БОЛЕЗНЬ', 'БОЛЕЗНЬ']
ВОЛЬТИЖИРОВКА	["111094-N", "113642-N"]	['ЕХАТЬ, ДВИГАТЬСЯ ПРИ ПОМОЩИ СРЕДСТВ ПЕРЕДВИЖЕНИЯ', 'ВЕРХОВАЯ ЕЗДА']
ВОЛЬТИЖИРОВКА	["7540-N", "4911-N"]	['ИСПОЛНИТЕЛЬСКОЕ ИСКУССТВО', 'ЦИРКОВОЕ ИСКУССТВО']
ВОСКРЕСНИК	["133376-N", "840-N"]	['БЕЗВОЗМЕЗДНЫЙ ТРУД', 'ТРУД']
ВОСЬМИУГОЛЬНИК	["107021-N", "107027-N"]	['ГЕОМЕТРИЧЕСКАЯ ФИГУРА', 'МНОГОУГОЛЬНИК']
ВТУЛКА	["107496-N", "106553-N", "106509-N"]	['ДЕТАЛЬ УСТРОЙСТВА', 'ПРИСПОСОБЛЕНИЕ, ИНСТРУМЕНТ', 'СОСТАВНАЯ ЧАСТЬ']
ВШИВОСТЬ	["140711-N", "5882-N", "136228-N", "616-N"]	['БИОЛОГИЧЕСКИЙ ПАРАЗИТИЗМ', 'ПАРАЗИТАРНАЯ БОЛЕЗНЬ', 'ИНФЕКЦИОННЫЕ И ПАРАЗИТАРНЫЕ БОЛЕЗНИ', 'БОЛЕЗНЬ']
ВЫКРОЙКА	["140712-N", "106525-N"]	['ОБРАЗЕЦ ИЗДЕЛИЯ, МАТЕРИАЛА', 'МОДЕЛЬ ДЛЯ ИЗГОТОВЛЕНИЯ']
ВЫТАПТЫВАНИЕ	["111369-N", "111370-N"]	['ПОРТИТЬ, ДЕЛАТЬ ПЛОХИМ', 'ПОВРЕДИТЬ']
ВЫТАПТЫВАНИЕ	["106483-N", "106531-N"]	['УНИЧТОЖИТЬ, ПРЕКРАТИТЬ СУЩЕСТВОВАНИЕ', 'ПРЕКРАТИТЬ, ПОЛОЖИТЬ КОНЕЦ']
